emp_no,birth_date,first_name,last_name,gender,hire_date,avg.employees.salaries,avg.title.Senior Engineer.employees.salaries,avg.title.Staff.employees.salaries,avg.title.Engineer.employees.salaries,avg.title.Senior Staff.employees.salaries,avg.title.Assistant Engineer.employees.salaries,avg.title.Technique Leader.employees.salaries,avg.title.Manager.employees.salaries
10001,1953-09-02,Georgi,Facello,M,1986-06-26,75388.9412,75388.9412,,,,,,
10002,1964-06-02,Bezalel,Simmel,F,1985-11-21,68854.5000,,68854.5000,,,,,
10003,1959-12-03,Parto,Bamford,M,1986-08-28,43030.2857,43030.2857,,,,,,
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,56512.2500,56512.2500,,56512.2500,,,,
10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12,87275.7692,,87275.7692,,87275.7692,,,
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,50514.9167,50514.9167,,,,,,
10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,70826.7143,,70826.7143,,70826.7143,,,
10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,49307.6667,,,,,49307.6667,,
10009,1952-04-19,Sumant,Peac,F,1985-02-18,78284.5556,78284.5556,,78284.5556,,78284.5556,,
10010,1963-06-01,Duangkaew,Piveteau,F,1989-08-24,76723.0000,,,76723.0000,,,,
10011,1953-11-07,Mary,Sluis,F,1990-01-22,49782.0000,,49782.0000,,,,,
10012,1960-10-04,Patricio,Bridgland,M,1992-12-18,46902.8000,46902.8000,,46902.8000,,,,
10013,1963-06-07,Eberhardt,Terkki,M,1985-10-20,52431.5882,,,,52431.5882,,,
10014,1956-02-12,Berni,Genin,M,1987-03-11,52990.3333,,,52990.3333,,,,
10015,1959-08-19,Guoxiang,Nooteboom,M,1987-07-02,40000.0000,,,,40000.0000,,,
10016,1961-05-02,Kazuhito,Cappelletti,M,1995-01-27,74995.4000,,74995.4000,,,,,
10017,1958-07-06,Cristinel,Bouloucos,F,1993-08-03,87064.7000,,87064.7000,,87064.7000,,,
10018,1954-06-19,Kazuhide,Peha,F,1987-04-03,68640.0625,68640.0625,,68640.0625,,,,
10019,1953-01-23,Lillian,Haddadi,M,1999-04-30,47007.2500,,47007.2500,,,,,
